league_positive_t1,age,gender,walk,fam,games_watched,secular_t1,attend,prefer_group
4,32,Male,1,1,11,4,1,0
4,20,Male,1,1,32,4,1,2
4,23,Male,0,1,25,3,1,1
4,20,Male,1,1,20,4,1,1
4,23,Male,0,1,19,4,1,0
4,27,Male,0,1,10,4,1,0
3,29,Male,1,0,0,3,1,2
3,22,Female,0,1,0,4,1,1
1,51,Male,1,0,3,1,0,2
4,26,Male,0,1,53,3,1,2
3,24,Male,1,1,19,2,1,1
4,23,Male,0,0,5,4,1,1
4,20,Male,1,0,4,3,1,2
3,23,Male,1,1,17,3,1,0
4,22,Male,1,0,NA,4,1,1
1,23,Male,1,1,23,2,0,1
3,22,Male,0,1,22,4,0,0
4,21,Male,0,0,NA,1,1,0
3,50,Female,0,1,19,3,1,0
4,64,Male,1,0,0,3,1,0
3,18,Female,1,0,4,4,1,0
3,53,Female,0,0,NA,2,1,0
4,46,Female,1,0,NA,4,1,1
1,21,Female,1,0,NA,3,0,0
4,40,Female,1,0,NA,3,1,0
4,24,Male,1,0,8,4,1,0
4,18,Female,1,0,2,4,1,0
4,31,Male,1,1,16,4,1,0
3,24,Female,1,1,12,4,1,1
4,38,Female,1,0,0,3,0,1
3,52,Male,1,1,31,4,1,1
3,22,Female,1,0,2,2,1,2
1,25,Male,1,1,NA,2,0,0
4,24,Female,1,1,10,4,1,0
1,46,Female,1,1,17,2,0,1
3,NA,Male,1,0,NA,2,1,2
4,23,Female,1,1,10,3,1,1
3,32,Female,1,1,12,3,0,1
4,20,Male,1,1,9,3,1,2
4,37,Male,1,1,23,4,1,0
4,NA,Male,1,1,14,4,1,0
1,25,Male,1,0,17,3,1,0
1,43,Female,1,1,25,3,1,0
3,28,Female,1,1,31,4,1,0
4,27,Male,1,1,18,3,1,0
3,26,Male,1,1,NA,4,1,0
1,NA,Male,1,0,NA,4,1,1
4,27,Male,1,1,16,4,0,0
3,27,Male,1,1,6,3,1,1
1,37,Male,1,0,26,2,1,0
3,28,Male,1,1,18,4,1,1
3,NA,Male,1,0,NA,3,1,1
3,29,Male,1,0,13,4,1,0
3,24,Male,1,1,66,4,1,0
4,25,Male,1,0,25,3,1,0
1,28,Male,1,1,51,2,0,1
3,25,Male,1,1,8,3,1,0
3,27,Female,1,0,19,4,1,2
3,NA,Female,1,1,28,3,1,2
1,35,Male,1,0,NA,3,0,1
3,28,Female,1,1,17,3,0,0
4,26,Female,1,0,NA,4,1,1
3,30,Male,1,0,NA,2,1,0
1,33,Male,1,1,31,2,0,1
4,28,Female,1,1,24,3,1,2
1,55,Male,1,0,NA,3,1,2
3,28,Male,1,0,15,4,1,0
3,27,Female,1,0,NA,4,1,1
1,25,Male,1,1,12,3,1,0
1,NA,Male,0,0,14,2,1,0
1,30,Female,1,1,23,4,0,1
3,NA,Female,0,1,30,4,1,0
4,30,Male,1,1,30,3,1,1
3,30,Male,1,1,30,4,1,1
3,57,Female,1,1,35,4,1,2
3,20,Male,1,0,21,4,1,1
3,24,Female,1,1,13,3,0,1
3,31,Male,1,0,NA,3,1,1
4,46,Female,1,1,16,4,0,1
4,27,Male,1,1,19,4,1,0
4,40,Male,1,1,23,4,1,0
3,41,Female,1,1,27,3,1,0
3,40,Female,0,0,NA,4,1,1
1,40,Female,0,0,NA,2,0,1
4,39,Male,1,0,NA,3,0,0
3,27,Female,1,1,21,3,1,1
1,39,Male,1,1,60,3,0,2
4,49,Female,1,1,24,3,1,2
4,35,Male,1,1,59,4,1,0
3,61,Female,1,1,81,1,1,2
4,35,Female,0,1,44,3,1,2
4,35,Female,1,1,36,2,1,0
3,37,Female,1,1,31,4,1,0
4,34,Male,1,1,50,3,1,2
3,23,Male,0,1,100,4,1,2
4,29,Male,0,0,7,4,0,2
4,22,Male,0,1,22,4,1,2
1,22,Male,0,1,22,2,0,2
3,26,Female,0,0,NA,3,1,1
4,27,Female,0,0,NA,3,1,1
3,24,Female,0,0,NA,3,0,2
3,25,Male,1,1,26,4,0,0
1,27,Male,1,1,15,4,1,0
3,24,Female,0,1,15,1,1,1
3,30,Male,0,1,15,4,1,0
4,24,Male,1,1,19,4,0,1
4,56,Male,1,0,15,4,1,1
1,44,Female,0,0,5,2,0,1
2,56,Female,0,0,13,4,1,2
4,47,Female,1,0,0,2,1,0
4,48,Female,1,0,0,4,1,0
4,57,Male,1,0,3,3,1,0
4,52,Male,0,1,38,4,1,0
3,25,Male,1,1,47,4,1,2
3,70,Female,1,0,10,3,0,1
4,29,Female,0,1,45,4,1,0
4,37,Female,0,1,15,3,0,0
2,80,Female,0,0,3,3,0,1
1,23,Male,0,1,38,2,0,1
4,19,Male,0,1,19,4,1,0
3,49,Female,0,0,5,3,1,0
4,27,Male,0,0,16,3,1,1
3,NA,Female,0,0,NA,3,0,1
1,40,Male,0,0,1,4,1,0
4,36,Female,0,1,27,2,1,2
3,51,Female,0,1,33,2,0,1
1,33,Male,0,0,NA,3,0,1
3,28,Female,0,0,2,3,0,0
1,22,Male,1,0,4,2,0,1
1,45,Male,1,1,58,4,0,1
3,38,Male,0,0,5,4,1,0
