league_positive_t0,age,gender,walk,fam,games_watched,secular_t0
4,32,Male,1,1,11,4
4,20,Male,1,1,32,4
4,23,Male,0,1,25,4
4,20,Male,1,1,20,4
3,23,Male,0,1,19,4
4,27,Male,0,1,10,4
4,29,Male,1,0,0,3
4,22,Female,0,1,0,4
3,51,Male,1,0,3,4
4,26,Male,0,1,53,4
4,24,Male,1,1,19,4
4,23,Male,0,0,5,4
4,20,Male,1,0,4,4
4,23,Male,1,1,17,4
4,22,Male,1,0,NA,4
4,25,Male,1,1,16,2
4,23,Male,1,1,23,4
4,22,Male,0,1,22,4
4,21,Male,0,0,NA,4
4,50,Female,0,1,19,4
4,64,Male,1,0,0,4
4,18,Female,1,0,4,4
4,53,Female,0,0,NA,4
4,46,Female,1,0,NA,4
4,21,Female,1,0,NA,4
4,40,Female,1,0,NA,4
4,24,Male,1,0,8,4
4,18,Female,1,0,2,4
4,31,Male,1,1,16,4
4,24,Female,1,1,12,4
4,38,Female,1,0,0,4
4,52,Male,1,1,31,4
4,22,Female,1,0,2,4
4,25,Male,1,1,NA,4
4,24,Female,1,1,10,4
4,46,Female,1,1,17,3
4,NA,Male,1,0,NA,4
4,23,Female,1,1,10,4
4,32,Female,1,1,12,4
4,20,Male,1,1,9,4
4,37,Male,1,1,23,4
4,NA,Male,1,1,14,4
4,25,Male,1,0,17,4
4,43,Female,1,1,25,4
4,28,Female,1,1,31,4
4,27,Male,1,1,18,4
4,26,Male,1,1,NA,4
4,NA,Male,1,0,NA,4
4,27,Male,1,1,16,3
3,27,Male,1,1,6,3
4,37,Male,1,0,26,4
4,28,Male,1,1,18,4
4,NA,Male,1,0,NA,4
4,29,Male,1,0,13,4
4,22,Male,1,1,7,4
4,24,Male,1,1,66,4
4,25,Male,1,0,25,4
4,34,Male,1,0,3,4
4,28,Male,1,1,51,4
4,25,Male,1,1,8,4
4,27,Female,1,0,19,4
4,NA,Female,1,1,28,4
1,35,Male,1,0,NA,1
4,28,Female,1,1,17,4
4,26,Female,1,0,NA,4
4,30,Male,1,0,NA,4
4,33,Male,1,1,31,4
4,28,Female,1,1,24,4
2,55,Male,1,0,NA,2
3,28,Male,1,0,15,2
4,27,Female,1,0,NA,4
4,25,Male,1,1,12,4
4,NA,Male,0,0,14,4
4,30,Female,1,1,23,4
4,NA,Female,0,1,30,4
4,30,Male,1,1,30,4
4,57,Female,1,1,35,4
4,31,Female,1,0,20,4
4,34,Female,1,0,5,4
3,71,Female,1,0,0,2
4,27,Female,1,0,NA,4
4,31,Female,1,0,14,1
4,56,Female,1,0,NA,4
4,57,Male,1,0,6,2
4,59,Female,1,1,28,4
4,39,Male,1,1,10,4
3,25,Male,1,0,2,3
4,20,Male,1,0,21,4
4,24,Female,1,1,13,4
4,31,Male,1,0,NA,4
4,46,Female,1,1,16,2
4,49,Female,1,1,21,4
4,27,Male,1,1,19,3
4,40,Male,1,1,23,3
4,41,Female,1,1,27,3
4,40,Female,0,0,NA,3
3,39,Male,1,0,NA,2
4,27,Female,1,1,21,3
4,39,Male,1,1,60,4
4,49,Female,1,1,24,4
4,35,Male,1,1,59,4
4,61,Female,1,1,81,4
4,35,Female,0,1,44,4
4,35,Female,1,1,36,4
3,37,Female,1,1,31,3
4,34,Male,1,1,50,4
4,23,Male,0,1,100,4
4,29,Male,0,0,7,4
4,22,Male,0,1,22,3
4,26,Female,0,0,NA,4
4,27,Female,0,0,NA,4
4,24,Female,0,0,NA,4
4,25,Male,1,1,26,3
4,27,Male,1,1,15,4
4,24,Female,0,1,15,4
3,30,Male,0,1,15,3
4,24,Male,1,1,19,4
4,56,Male,1,0,15,3
1,44,Female,0,0,5,3
1,56,Female,0,0,13,1
3,47,Female,1,0,0,1
3,48,Female,1,0,0,1
3,57,Male,1,0,3,1
4,52,Male,0,1,38,1
4,25,Male,1,1,47,4
1,70,Female,1,0,10,3
3,29,Female,0,1,45,2
3,37,Female,0,1,15,3
3,80,Female,0,0,3,3
4,34,Male,0,0,50,4
4,23,Male,0,1,38,1
4,19,Male,0,1,19,4
4,49,Female,0,0,5,4
4,27,Male,0,0,16,4
4,NA,Female,0,0,NA,4
4,40,Male,0,0,1,4
4,36,Female,0,1,27,4
4,51,Female,0,1,33,4
4,33,Male,0,0,NA,4
4,28,Female,0,0,2,4
4,22,Male,1,0,4,4
4,47,Female,1,0,10,3
3,48,Female,1,0,38,3
4,28,Male,1,0,NA,4
4,37,Female,1,0,NA,3
4,31,Male,1,1,21,4
3,37,Male,1,0,NA,3
3,27,Male,1,1,47,4
3,45,Male,1,1,58,1
3,38,Male,0,0,5,3
