team,treated,block,went_mosul
team_1,1,1,1
team_1,1,1,1
team_1,1,1,1
team_1,1,1,1
team_1,1,1,1
team_1,1,1,1
team_1,1,1,1
team_1,1,1,0
team_1,1,1,0
team_1,1,1,0
team_2,0,1,1
team_2,0,1,1
team_2,0,1,0
team_2,0,1,0
team_2,0,1,0
team_2,0,1,0
team_2,0,1,0
team_2,0,1,0
team_2,0,1,0
team_2,0,1,0
team_2,0,1,0
team_2,0,1,0
team_2,0,1,0
team_5,1,2,1
team_5,1,2,1
team_5,1,2,1
team_5,1,2,1
team_5,1,2,1
team_5,1,2,1
team_5,1,2,1
team_5,1,2,1
team_5,1,2,0
team_5,1,2,0
team_6,1,8,1
team_6,1,8,1
team_6,1,8,1
team_6,1,8,0
team_6,1,8,0
team_6,1,8,0
team_6,1,8,0
team_6,1,8,0
team_6,1,8,0
team_6,1,8,0
team_9,0,3,1
team_9,0,3,0
team_9,0,3,0
team_9,0,3,0
team_9,0,3,0
team_9,0,3,0
team_9,0,3,0
team_9,0,3,0
team_9,0,3,0
team_9,0,3,0
team_9,0,3,0
team_9,0,3,0
team_9,0,3,0
team_10,1,9,1
team_10,1,9,1
team_10,1,9,0
team_10,1,9,0
team_10,1,9,0
team_10,1,9,0
team_10,1,9,0
team_10,1,9,0
team_10,1,9,0
team_10,1,9,0
team_12,0,4,1
team_12,0,4,0
team_12,0,4,0
team_12,0,4,0
team_12,0,4,0
team_12,0,4,0
team_12,0,4,0
team_12,0,4,0
team_12,0,4,0
team_12,0,4,0
team_12,0,4,0
team_12,0,4,0
team_12,0,4,0
team_13,0,14,1
team_13,0,14,1
team_13,0,14,1
team_13,0,14,0
team_13,0,14,0
team_13,0,14,0
team_13,0,14,0
team_13,0,14,0
team_13,0,14,0
team_13,0,14,0
team_13,0,14,0
team_17,0,5,1
team_17,0,5,1
team_17,0,5,1
team_17,0,5,1
team_17,0,5,1
team_17,0,5,1
team_17,0,5,1
team_17,0,5,1
team_17,0,5,1
team_17,0,5,1
team_17,0,5,0
team_17,0,5,0
team_17,0,5,0
team_18,0,11,1
team_18,0,11,1
team_18,0,11,1
team_18,0,11,0
team_18,0,11,0
team_18,0,11,0
team_18,0,11,0
team_18,0,11,0
team_18,0,11,0
team_18,0,11,0
team_18,0,11,0
team_18,0,11,0
team_18,0,11,0
team_19,1,11,0
team_19,1,11,0
team_19,1,11,0
team_19,1,11,0
team_19,1,11,0
team_19,1,11,0
team_19,1,11,0
team_19,1,11,0
team_19,1,11,0
team_19,1,11,0
team_25,0,12,1
team_25,0,12,1
team_25,0,12,1
team_25,0,12,1
team_25,0,12,1
team_25,0,12,0
team_25,0,12,0
team_25,0,12,0
team_25,0,12,0
team_25,0,12,0
team_25,0,12,0
team_25,0,12,0
team_25,0,12,0
team_27,1,13,1
team_27,1,13,1
team_27,1,13,1
team_27,1,13,0
team_27,1,13,0
team_27,1,13,0
team_27,1,13,0
team_27,1,13,0
team_27,1,13,0
team_27,1,13,0
team_3,0,14,1
team_3,0,14,1
team_3,0,14,1
team_3,0,14,1
team_3,0,14,1
team_3,0,14,0
team_3,0,14,0
team_3,0,14,0
team_3,0,14,0
team_3,0,14,0
team_3,0,14,0
team_7,0,8,1
team_7,0,8,1
team_7,0,8,1
team_7,0,8,0
team_7,0,8,0
team_7,0,8,0
team_7,0,8,0
team_7,0,8,0
team_7,0,8,0
team_7,0,8,0
team_7,0,8,0
team_7,0,8,0
team_7,0,8,0
team_8,1,3,1
team_8,1,3,1
team_8,1,3,1
team_8,1,3,1
team_8,1,3,1
team_8,1,3,1
team_8,1,3,1
team_8,1,3,1
team_8,1,3,0
team_8,1,3,0
team_11,1,9,1
team_11,1,9,1
team_11,1,9,1
team_11,1,9,0
team_11,1,9,0
team_11,1,9,0
team_11,1,9,0
team_11,1,9,0
team_11,1,9,0
team_11,1,9,0
team_14,1,4,1
team_14,1,4,0
team_14,1,4,0
team_14,1,4,0
team_14,1,4,0
team_14,1,4,0
team_14,1,4,0
team_14,1,4,0
team_14,1,4,0
team_14,1,4,0
team_15,1,10,1
team_15,1,10,1
team_15,1,10,1
team_15,1,10,0
team_15,1,10,0
team_15,1,10,0
team_15,1,10,0
team_15,1,10,0
team_15,1,10,0
team_15,1,10,0
team_24,1,7,0
team_24,1,7,0
team_24,1,7,0
team_24,1,7,0
team_24,1,7,0
team_24,1,7,0
team_24,1,7,0
team_24,1,7,0
team_24,1,7,0
team_24,1,7,0
team_26,1,12,1
team_26,1,12,1
team_26,1,12,0
team_26,1,12,0
team_26,1,12,0
team_26,1,12,0
team_26,1,12,0
team_26,1,12,0
team_26,1,12,0
team_26,1,12,0
team_28,0,13,1
