id_new,cash_christian_t0,danger_t0,secular_t0,friends_t0,proud_iraqi_t0,land_t0,nbr_chr_t0,empathy_t0,areas_t0,secular1_t0,time,empathy_t0_new,friends_t0_new,secular_t0_new,secular1_t0_new,land_t0_new,proud_iraqi_t0_new
1,1,2,4,1,2,2,1,4,1,4,0,1,1,1,1,1,1
11,0,3,4,0,4,2,0,4,1,4,0,1,0,1,1,1,0
13,1,1,3,1,4,2,0,3,1,2,0,1,1,1,0,1,0
17,0,1,4,1,4,1,0,3,2,1,0,1,1,1,0,1,0
18,1,2,4,0,4,1,0,3,2,2,0,1,0,1,0,1,0
19,1,3,4,1,4,2,1,4,2,4,0,1,1,1,1,1,0
21,1,3,4,1,4,2,1,4,2,4,0,1,1,1,1,1,0
26,1,4,4,1,4,0,1,3,1,4,0,1,1,1,1,0,0
28,0,3,3,1,4,2,1,3,1,1,0,1,1,1,0,1,0
3,1,4,4,1,4,2,1,3,1,2,0,1,1,1,0,1,0
32,0,3,3,1,4,2,1,3,1,1,0,1,1,1,0,1,0
33,0,4,4,1,4,2,0,4,1,4,0,1,1,1,1,1,0
34,1,1,1,0,4,1,0,4,1,1,0,1,0,0,0,1,0
36,1,3,4,1,4,2,1,3,1,4,0,1,1,1,1,1,0
38,1,4,3,1,4,1,1,3,1,4,0,1,1,1,1,1,0
39,1,4,4,1,4,2,1,4,NA,4,0,1,1,1,1,1,0
4,1,1,1,1,4,0,0,2,1,2,0,0,1,0,0,0,0
40,1,2,4,1,4,2,1,4,2,4,0,1,1,1,1,1,0
43,1,3,4,1,4,2,0,3,1,1,0,1,1,1,0,1,0
44,1,4,3,0,3,2,0,3,1,3,0,1,0,1,1,1,0
45,0,3,3,1,4,1,0,1,1,3,0,0,1,1,1,1,0
5,1,2,4,1,4,2,1,3,1,4,0,1,1,1,1,1,0
50,0,3,1,2,4,0,1,4,1,2,0,1,1,0,0,0,0
51,1,3,3,1,4,1,1,4,2,2,0,1,1,1,0,1,0
58,1,1,4,1,4,1,0,4,1,4,0,1,1,1,1,1,0
6,1,4,4,1,2,2,1,4,1,3,0,1,1,1,1,1,1
7,1,3,4,1,4,0,0,4,1,2,0,1,1,1,0,0,0
8,0,3,4,1,4,1,0,3,2,4,0,1,1,1,1,1,0
9,1,1,4,1,4,2,1,4,2,1,0,1,1,1,0,1,0
1,1,3,4,1,3,2,1,4,1,4,1,1,1,1,1,1,0
11,0,1,4,0,4,2,1,2,2,4,1,0,0,1,1,1,0
13,1,3,3,1,4,2,0,3,1,1,1,1,1,1,0,1,0
17,0,3,3,1,4,1,1,4,NA,1,1,1,1,1,0,1,0
18,1,4,4,1,4,1,0,4,2,2,1,1,1,1,0,1,0
19,1,4,4,1,4,2,1,4,2,4,1,1,1,1,1,1,0
21,0,1,4,1,4,2,1,3,1,1,1,1,1,1,0,1,0
26,1,4,4,1,4,2,1,4,1,2,1,1,1,1,0,1,0
28,0,3,4,1,4,2,0,3,1,2,1,1,1,1,0,1,0
3,1,3,4,1,4,2,1,4,1,1,1,1,1,1,0,1,0
32,0,3,3,1,3,2,1,3,1,3,1,1,1,1,1,1,0
33,0,3,3,1,4,1,0,1,1,3,1,0,1,1,1,1,0
34,0,3,3,1,4,1,0,3,1,2,1,1,1,1,0,1,0
36,1,1,4,1,4,2,1,4,1,4,1,1,1,1,1,1,0
38,1,3,4,0,4,2,0,4,1,4,1,1,0,1,1,1,0
39,1,4,4,1,4,2,1,4,1,4,1,1,1,1,1,1,0
4,1,2,4,1,3,0,1,3,1,1,1,1,1,1,0,0,0
40,1,3,4,1,4,1,1,4,2,3,1,1,1,1,1,1,0
43,0,3,3,1,4,2,1,3,1,2,1,1,1,1,0,1,0
44,1,2,2,1,4,0,0,4,1,2,1,1,1,0,0,0,0
45,0,3,3,1,4,1,0,3,1,1,1,1,1,1,0,1,0
5,0,3,4,1,4,2,1,4,1,3,1,1,1,1,1,1,0
50,0,3,4,1,4,1,1,4,1,4,1,1,1,1,1,1,0
51,0,3,4,1,4,1,1,4,2,2,1,1,1,1,0,1,0
58,1,1,4,1,4,2,0,4,1,2,1,1,1,1,0,1,0
6,1,4,4,1,4,2,1,4,1,2,1,1,1,1,0,1,0
7,1,3,2,1,4,2,0,4,1,2,1,1,1,0,0,1,0
8,1,4,4,1,4,1,1,4,1,4,1,1,1,1,1,1,0
9,1,1,4,1,4,2,1,4,1,2,1,1,1,1,0,1,0
