StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q28,Q20,Q21,Q21_4_TEXT,Q17_1,Q18,Q19,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q1_1,Q26,Q3,Q7,Q6,Q5,Q11,Q8,Q13,Q16,Q23
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Write down your 6 digit survey identification code: (N/A if you do not have one),How old are you?,How do you describe yourself? - Selected Choice,How do you describe yourself? - Prefer to self-describe - Text,"What would you say you politically identify as? [-3 being strong believing Liberal, 3 being strong believing Conservative] - Rate on a Scale",Have you lived in another country other than the United States for more than 5 years?,Which Country did you live in?,Rank these options based on what you believe should be prioritized for Foreign Policy: - National Security,Rank these options based on what you believe should be prioritized for Foreign Policy: - Economic Intervention,Rank these options based on what you believe should be prioritized for Foreign Policy: - Environmental/ Global Health Interests,Rank these options based on what you believe should be prioritized for Foreign Policy: - Diplomacy,Rank these options based on what you believe should be prioritized for Foreign Policy: - Human Rights/ Democracy,"What is your perspective on the concept of humanitarian intervention, where countries intervene in another nation to prevent human rights abuses? - Rate on a Scale",Why did you rank your given choice the highest?,"A nation holds free and fair elections, but the elected government is hostile to US interests or adopts policies that are against US values, such as restricting freedoms.","Should the US intervene in countries where cultural or religious practices are considered inhumane by Western standards? For Example, not allowing women education based on religious standards?","A nation's government collapses, leading to chaos, violence, and a power vacuum that threatens regional stability. Should the US intervene to stabilize the country?",A government or militant group is carrying out systematic ethnic cleansing or genocide against a minority group within their country. Should the US intervene to stop these atrocities?,"Should the US support insurgencies or rebellions against oppressive regimes, if the *regimes* do not align with US values?","Should the US intervene in civil wars or internal political conflicts where there are no good sides? For example, if there was conflict between ISIS and Al Qaeda within a country.",Should the US intervene in countries plagued by drug trafficking and organized crime that affects regional security?,"Consider a situation where your home country/country of heritage was facing harsh pressure from an external force, would you support the US Intervening to help stop the external force? 

The chances of success and beating the external force is 60%","Should the US intervene in a foreign country experiencing a deadly virus outbreak that threatens to become a global pandemic, by providing medical aid and expertise, even if it requires significant resources?"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID28_TEXT""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID21_4_TEXT""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19_TEXT""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID2_2""}","{""ImportId"":""QID2_3""}","{""ImportId"":""QID2_4""}","{""ImportId"":""QID2_5""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID26_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID7""}","{""ImportId"":""QID6""}","{""ImportId"":""QID5""}","{""ImportId"":""QID11""}","{""ImportId"":""QID8""}","{""ImportId"":""QID13""}","{""ImportId"":""QID16""}","{""ImportId"":""QID23""}"
2024-03-12 10:00:34,2024-03-12 10:02:23,IP Address,136.152.215.20,100,109,True,2024-03-12 10:02:24,R_5xS6l1MVCnhYT7j,,,,,37.8736,-122.257,anonymous,EN,,18-24 years old,Female,,-3,No,,3,5,2,4,1,1,"human rights is the foundation for people across the globe, it is universal",The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should Intervene,The US Should Intervene,The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should Intervene,The US Should Intervene,The US Should Intervene
2024-03-12 10:00:19,2024-03-12 10:03:27,IP Address,136.152.215.180,100,188,True,2024-03-12 10:03:27,R_3PduidZZo26yrWa,,,,,37.8736,-122.257,anonymous,EN,N/A,18-24 years old,Non-binary / third gender,,-3,No,,5,3,2,4,1,1,"Human rights is obviously the most fundamental and important aspect of foreign policy on a moral and ethical level. ",The US Should *NOT* Intervene,The US Should Intervene,The US Should *NOT* Intervene,The US Should Intervene,The US Should *NOT* Intervene,The US Should Intervene,The US Should *NOT* Intervene,The US Should Intervene,The US Should Intervene
2024-03-12 10:01:16,2024-03-12 10:04:03,IP Address,136.152.215.63,100,166,True,2024-03-12 10:04:03,R_3Nn5lgt72iG5eEA,,,,,37.8736,-122.257,anonymous,EN,N/A,18-24 years old,Male,,-2,No,,1,2,5,3,4,2,"Keeping the US safe is important to promote other important components ",The US Should *NOT* Intervene,The US Should Intervene,The US Should Intervene,The US Should Intervene,The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should Intervene,The US Should Intervene,The US Should Intervene
2024-03-12 09:59:00,2024-03-12 10:04:12,IP Address,136.152.215.80,100,311,True,2024-03-12 10:04:12,R_10klapkhk1HHePa,,,,,37.8736,-122.257,anonymous,EN,n/a,18-24 years old,Female,,-3,No,,4,3,1,5,2,2,"I believe it is always applicable and always needed, regardless of the state of the world",The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should Intervene,The US Should Intervene,The US Should Intervene,The US Should Intervene,The US Should Intervene,The US Should Intervene,The US Should Intervene
2024-03-12 10:01:54,2024-03-12 10:05:13,IP Address,136.152.215.249,100,198,True,2024-03-12 10:05:13,R_3Vl5cuFyxhjsjTl,,,,,37.8736,-122.257,anonymous,EN,n/q,18-24 years old,Female,,-3,No,,3,5,1,2,4,-1,"Because this area is one of the US's most lacking areas in terms of international diplomacy and cooperation and nothing else really matters if the environment is fucked ",The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should Intervene,The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should Intervene,The US Should Intervene,The US Should Intervene
2024-03-12 10:04:10,2024-03-12 10:06:57,IP Address,136.152.209.183,100,166,True,2024-03-12 10:06:57,R_8sKo3m6LIOuVX9f,,,,,37.8657,-122.2571,anonymous,EN,NA,18-24 years old,Female,,-2,No,,3,5,2,4,1,2,Human rights are essential,The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should Intervene,The US Should Intervene,The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should Intervene,The US Should Intervene
2024-03-12 10:04:25,2024-03-12 10:08:54,IP Address,136.152.215.17,100,269,True,2024-03-12 10:08:55,R_7siZmfEOTG4wr27,,,,,37.8736,-122.257,anonymous,EN,,Under 18,Female,,0,No,,2,4,3,5,1,1,"Because our democracy is in terrifying jeopardy right now, especially with the elections coming up in November",The US Should Intervene,The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should Intervene,The US Should Intervene,The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should *NOT* Intervene
2024-03-12 10:03:03,2024-03-12 10:09:18,IP Address,136.152.215.5,100,375,True,2024-03-12 10:09:18,R_12RIfRZ1xH67MM9,,,,,37.8736,-122.257,anonymous,EN,n/a,18-24 years old,Female,,-2,No,,2,4,5,3,1,2,a country can not thrive without prioritizing the concerns and rights of their citizens,The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should *NOT* Intervene,The US Should *NOT* Intervene
