"","code","treat","race","ethnic","gender","berk","bay","job","feel"
"1","7am63b","1",5,4,1,3,2,6,82
"2","edgn2x","0",5,6,4,2,3,1,90
"3","fj9qo3","2",6,5,1,4,2,3,NA
"4","5t6hyi","0",2,1,5,3,4,6,89
"5","h0uldb","0",4,5,2,3,6,1,50
"6","heowwz","2",6,5,1,2,3,4,NA
"7","l210xa","2",5,6,4,2,3,1,90
"8","w4d6ac","0",3,6,1,4,5,2,NA
"9","r1y5c9","0",6,5,2,4,1,3,86
"10","vfvsr6","0",5,4,6,3,1,2,85
"11","78haax","0",5,6,3,2,4,1,85
"12","5nby0x","1",5,6,4,2,3,1,100
"13","0ei3kr","2",3,4,1,2,6,5,NA
"14","pbanbg","0",4,6,5,1,3,2,80
"15","3v6xk2","1",5,6,4,3,1,2,56
"16","3g43an","0",2,6,1,5,3,4,100
"17","apd7wd","1",6,5,4,3,1,2,48
"18","5nqluq","2",3,5,2,4,1,6,80
"19","l8fkdk","0",2,1,6,3,5,4,70
"20","fwspkr","0",6,3,5,4,1,2,81
"21","vsgvf8","1",6,5,4,2,1,3,80
"22","fzue8d","0",1,3,6,4,2,5,68
"23","8rixe3","2",6,5,4,3,1,2,90
"24","f6aaww","0",6,5,4,2,1,3,100
"25","7ym7i0","2",4,5,2,3,6,1,65
"26","yoxokz","1",4,6,5,1,3,2,83
"27","e1638n","0",4,6,5,3,1,2,100
"28","rs3fmf","0",3,2,1,4,5,6,NA
"29","x53ul5","0",4,6,5,3,1,2,67
"30","z4vvar","1",6,5,4,1,3,2,100
"31","wph34p","0",6,5,4,2,3,1,100
"32","9deu1y","2",2,1,4,5,3,6,73
"33","ge5hm9","2",4,5,6,3,1,2,70
"34","3xhllq","0",6,4,5,3,1,2,72
"35","9f8bxt","2",5,6,1,3,2,4,100
"36","e5zx6o","2",5,6,4,2,1,3,88
"37","rr2jqe","2",5,6,1,3,2,4,71
"38","aplqp5","1",3,1,2,5,4,6,85
"39","mlg792","1",1,5,2,4,3,6,98
"40","8bekd9","0",5,6,3,4,1,2,83
"41","oipkup","0",6,5,2,3,1,4,90
"42","19ivue","0",1,3,2,4,6,5,60
"43","ubsaqg","0",6,5,4,1,3,2,88
"44","ayt2jx","1",5,6,2,3,1,4,85
"45","zry099","0",2,4,1,3,5,6,NA
"46","9w2at7","2",6,5,4,3,2,1,75
"47","95mi0f","2",5,6,2,3,1,4,67
"48","tf1cbu","1",3,6,2,1,4,5,71
"49","t2ic40","0",4,6,3,2,1,5,71
"50","aaafof","2",6,5,1,3,2,4,100
"51","k2unca","0",4,6,1,3,2,5,NA
"52","mn40s7","0",5,6,4,3,1,2,0
"53","9zc9ot","0",2,6,5,4,1,3,85
"54","06v19j","1",6,4,5,1,2,3,95
